,date,kospi_adj_close,kospi_volume,kosdaq_adj_close,kosdaq_volume,usd_krw_adj_close,year,month,day
656,2020-09-01,2349.550049,1085200,853.369995,1800,1187.040039,2020,9,1
657,2020-09-02,2364.370117,1429300,866.73999,1800,1184.920044,2020,9,2
658,2020-09-03,2395.899902,981500,874.130005,1800,1188.650024,2020,9,3
659,2020-09-04,2368.25,1351000,866.039978,1700,1190.780029,2020,9,4
660,2020-09-07,2384.219971,1197400,878.880005,1900,1186.420044,2020,9,7
661,2020-09-08,2401.909912,979400,878.289978,2500,1186.810059,2020,9,8
662,2020-09-09,2375.810059,946200,869.469971,2400,1189.23999,2020,9,9
663,2020-09-10,2396.47998,1064600,884.299988,2000,1184.380005,2020,9,10
664,2020-09-11,2396.689941,882900,888.440002,2000,1187.22998,2020,9,11
665,2020-09-14,2427.909912,963100,894.169983,1700,1186.969971,2020,9,14
666,2020-09-15,2443.580078,850000,899.460022,2100,1180.839966,2020,9,15
667,2020-09-16,2435.919922,772900,896.280029,2400,1179.25,2020,9,16
668,2020-09-17,2406.169922,853700,885.179993,2300,1172.069946,2020,9,17
669,2020-09-18,2412.399902,756500,888.880005,1800,1168.650024,2020,9,18
670,2020-09-21,2389.389893,1042000,866.98999,2000,1163.98999,2020,9,21
671,2020-09-22,2332.590088,1051000,842.719971,2000,1163.849976,2020,9,22
672,2020-09-23,2333.23999,735000,843.450012,2200,1162.5,2020,9,23
673,2020-09-24,2272.699951,714900,806.950012,2200,1169.72998,2020,9,24
674,2020-09-25,2278.790039,698000,808.280029,2200,1168.5,2020,9,25
675,2020-09-28,2308.080078,606000,835.909973,1900,1173.439941,2020,9,28
676,2020-09-29,2327.889893,646200,848.150024,2100,1166.410034,2020,9,29
677,2020-10-05,2358.0,763600,858.390015,1700,1165.359985,2020,10,5
678,2020-10-06,2365.899902,861800,862.580017,2000,1156.089966,2020,10,6
679,2020-10-07,2386.939941,735800,869.659973,2000,1163.890015,2020,10,7
680,2020-10-08,2391.959961,961700,871.619995,2000,1156.5,2020,10,8
681,2020-10-12,2403.72998,843600,873.5,2000,1142.650024,2020,10,12
682,2020-10-13,2403.149902,724900,871.919983,2300,1146.400024,2020,10,13
683,2020-10-14,2380.47998,901200,861.47998,2400,1147.890015,2020,10,14
684,2020-10-15,2361.209961,1165500,844.440002,2200,1146.310059,2020,10,15
685,2020-10-16,2341.530029,920200,833.840027,2300,1144.130005,2020,10,16
686,2020-10-19,2346.73999,930800,822.25,1700,1141.180054,2020,10,19
687,2020-10-20,2358.409912,870300,824.650024,1700,1137.0,2020,10,20
688,2020-10-21,2370.860107,810400,830.669983,1500,1136.0,2020,10,21
689,2020-10-22,2355.050049,814000,812.700012,1700,1132.030029,2020,10,22
690,2020-10-23,2360.810059,890400,807.97998,1600,1134.150024,2020,10,23
691,2020-10-26,2343.909912,822300,778.02002,1600,1127.76001,2020,10,26
692,2020-10-27,2330.840088,666900,783.72998,2100,1131.640015,2020,10,27
693,2020-10-28,2345.26001,705200,806.200012,2000,1128.22998,2020,10,28
694,2020-10-29,2326.669922,509100,813.929993,1900,1134.180054,2020,10,29
695,2020-10-30,2267.149902,795600,792.650024,1900,1129.52002,2020,10,30
696,2020-11-02,2300.159912,678500,802.950012,1500,1135.609985,2020,11,2
697,2020-11-03,2343.310059,887400,818.460022,1700,1132.140015,2020,11,3
698,2020-11-04,2357.320068,986800,826.969971,1800,1130.329956,2020,11,4
699,2020-11-05,2413.790039,702000,844.799988,1700,1129.73999,2020,11,5
700,2020-11-06,2416.5,825600,836.780029,1900,1122.630005,2020,11,6
701,2020-11-09,2447.199951,1354900,851.210022,1700,1121.150024,2020,11,9
702,2020-11-10,2452.830078,1464200,840.789978,1800,1118.689941,2020,11,10
703,2020-11-11,2485.870117,1272000,839.900024,2300,1116.079956,2020,11,11
704,2020-11-12,2475.620117,1278100,840.080017,2100,1111.449951,2020,11,12
705,2020-11-13,2493.870117,1072400,839.140015,1900,1114.910034,2020,11,13
706,2020-11-16,2543.030029,1239100,847.330017,1600,1107.76001,2020,11,16
707,2020-11-17,2539.149902,1266400,839.469971,1800,1106.089966,2020,11,17
708,2020-11-18,2545.639893,923500,851.73999,2300,1104.949951,2020,11,18
709,2020-11-19,2547.419922,976500,859.940002,2200,1105.900024,2020,11,19
710,2020-11-20,2553.5,1128900,870.179993,2100,1114.140015,2020,11,20
711,2020-11-23,2602.590088,1648900,873.289978,2100,1113.829956,2020,11,23
712,2020-11-24,2617.76001,1364500,872.099976,3200,1113.079956,2020,11,24
713,2020-11-25,2601.540039,1410100,865.119995,2500,1109.709961,2020,11,25
714,2020-11-26,2625.909912,1387400,874.530029,1900,1104.48999,2020,11,26
715,2020-11-27,2633.449951,1196000,885.559998,1800,1105.560059,2020,11,27
716,2020-11-30,2591.340088,1311800,886.109985,1700,1104.329956,2020,11,30
717,2020-12-01,2634.25,1150300,891.289978,2100,1108.51001,2020,12,1
718,2020-12-02,2675.899902,1076200,899.340027,1900,1106.280029,2020,12,2
719,2020-12-03,2696.219971,817100,907.609985,2400,1099.380005,2020,12,3
720,2020-12-04,2731.449951,1778900,913.76001,2200,1091.319946,2020,12,4
721,2020-12-07,2745.439941,1499300,926.880005,2200,1083.780029,2020,12,7
722,2020-12-08,2700.929932,1414300,906.840027,2600,1083.680054,2020,12,8
723,2020-12-09,2755.469971,1252300,913.809998,2700,1084.859985,2020,12,9
724,2020-12-10,2746.459961,1227700,921.700012,2700,1086.359985,2020,12,10
725,2020-12-11,2770.060059,1215200,928.440002,1900,1086.369995,2020,12,11
726,2020-12-14,2762.199951,1113600,929.539978,1600,1091.579956,2020,12,14
727,2020-12-15,2756.820068,1092700,931.27002,2100,1092.060059,2020,12,15
728,2020-12-16,2771.790039,1166600,939.650024,2000,1088.209961,2020,12,16
729,2020-12-17,2770.429932,1015500,944.039978,2700,1091.650024,2020,12,17
730,2020-12-18,2772.179932,1058300,947.23999,2100,1092.160034,2020,12,18
731,2020-12-21,2778.649902,1139500,953.580017,1900,1098.97998,2020,12,21
732,2020-12-22,2733.679932,1260800,928.72998,1900,1101.859985,2020,12,22
733,2020-12-23,2759.820068,1121300,923.169983,1900,1107.97998,2020,12,23
734,2020-12-24,2806.860107,1030900,928.679993,1700,1104.800049,2020,12,24
735,2020-12-28,2808.600098,1006200,927.0,1600,1099.089966,2020,12,28
736,2020-12-29,2820.51001,1046800,957.409973,1500,1095.0,2020,12,29
737,2020-12-30,2873.469971,1074000,968.419983,1600,1092.619995,2020,12,30
738,2021-01-04,2944.449951,1026500,977.619995,1700,1084.72998,2021,1,4
739,2021-01-05,2990.570068,1519900,985.76001,1800,1086.619995,2021,1,5
740,2021-01-06,2968.209961,1793400,981.390015,2000,1086.449951,2021,1,6
741,2021-01-07,3031.679932,1524700,988.859985,2300,1086.949951,2021,1,7
742,2021-01-08,3152.179932,1297900,987.789978,2600,1093.069946,2021,1,8
743,2021-01-11,3148.449951,1712500,976.630005,2200,1092.819946,2021,1,11
744,2021-01-12,3125.949951,1388600,973.719971,1700,1096.449951,2021,1,12
745,2021-01-13,3148.290039,1578000,979.130005,1600,1093.540039,2021,1,13
746,2021-01-14,3149.929932,1233200,980.289978,1700,1097.109985,2021,1,14
747,2021-01-15,3085.899902,1331100,964.440002,1800,1094.900024,2021,1,15
748,2021-01-18,3013.929932,1472000,944.669983,2000,1102.959961,2021,1,18
749,2021-01-19,3092.659912,1353300,957.75,2100,1103.099976,2021,1,19
750,2021-01-20,3114.550049,1192700,977.659973,2400,1100.98999,2021,1,20
751,2021-01-21,3160.840088,1360100,981.400024,2000,1096.25,2021,1,21
752,2021-01-22,3140.629883,1111200,979.97998,2300,1099.900024,2021,1,22
